OCR Text,Scientific Name,Barcode,Geography ,Collector,Year,Predicted Barcode
"PLANTS OF OREGON Collected by Morton E. Peck Wats. Iris bracteata Dry wooded slope along Page Cr., omi. S.E. of Takilina, Josephine Co. No.872 July 8, 1918.",Iris bracteata,01700951,"Oregon, US",Morton E. Peck,1918,01700951
"Iris eristata boster and Sharron 5-1-GU Range extended to the zacks, where it is very 8 cor had B. J. Rush No.39, nmr",Iris eristata,01747024,None,None,None,01747024
"var. leiocarpum. Sisymbrium officinale, seofe Delle of ote Wisconsin River , bilj, Aug. 30, 1904. DaKilbourn Wisconsin Coll. Wim Finger.",sisymbrium officinale,01716335,"Wisconsin, US",Coll Finger,1904,01716335
"Nevada Cryptantha the modesta Pappen Fayen Mancy, White Pine Co. July 6, 1871 Me Janes 6713",Cyptantha modesta,02060925,None,None,1871,02060925
"flaciniata HERBARIUM OF F. W. HUNNEWELL FLORA OF NORTH CAROLINA COUNTY. Ex avery 넷 Bradere manchata, poodeide, Dinila 4,863 July 21.1933 No. COLL. F. W. H.","Bradere manchata,",02201737,North Carolina,"F. W. HUNNEWELL,F. W. H.",1933,02201737
"C. nestrata, Resep SYN. FL. N. AMER.",C. nestrata,01087720,None,None,None,01087720
Plantæ in itineribus Suecorum polaribus collectæ. Cochlearia finestrała R. Br. Koblebag Aug. x. n Insulæ Spetsbergenses: Th. M. Fries.,cochlearia finestrała,00864134,None,None,None,00864134
HERBARIUM OF THE OHIO STATE UNIVERSITY Pontederia cordata L. var. cordata R. M. Lowden June 1971 toos for Carroll Coo HERB. W.G. FARLOW Poreceria cordata a L MLake ruA broma. Niliaus 1917,pontederia cordata,00864134,"Ohio, US",R. M. Lowden,1971,00864134
"ANICAL CD MAINE FLORA, SAGADAHOC COUNTY 1/3224 229Jrence cus acuminatus Mickey, Border of salt-marsh. Back River Creek, WOOLWICH. FERNALD AND BAYARD LONG, September 15, 1916.",Juncus acuminatus,00864281,"Maine, US",Woolwich. Fernald,1916,00864281
"21, 226 HERBARIUM OF ARTHUR STANLEY PEASE Tridens favus (L.) Hitchc. Dry soil by Amherst College Observatory, Amherst, mass. Hampshire Co 19 Sept., 1929, Coll.A.S.P.",Tridens Flavus,00614573,None,A.S.P,1929,00614573
"0.91 HERB. 08MERILL SMITHSONIAN INSTITUTION FROM THE UNITED STATES NATIONAL HERBARIUM PLANTS OF ALABAMA 200ocno HERBARIU, Becidea (Belle ) vyrirgen da (DC.) me. Mellers ville FARLOW ARIUM HARVARD NIVERSITY CHARLES L. POLLARD WILLIAM R. MAXON Collectors July \le, 1900",Becidea vyrirgen,00388632,"Alabama, US","Charles.L.Pollard, William. R. Maxon",1900,00388632
"Buellia punctata (Hoffen) mass. Annotated by H. A. Imshaug, 1951 Herbarium of the University of Michigan",Buellia punctata,00388632,"Michigan, US",H.A. Imshaug,1951,00388632
